Sample,numGrains,0-15 Ma,15-30 Ma,32-74 Ma,82-119 Ma,140-190 Ma,200-252 Ma,252-284 Ma,284-320 Ma,320-385 Ma,385-440 Ma,440-505 Ma,505-550 Ma,0-15 Ma (%),15-30 Ma (%),32-74 Ma (%),82-119 Ma (%),140-190 Ma (%),200-252 Ma (%),252-284 Ma (%),284-320 Ma (%),320-385 Ma (%),385-440 Ma (%),440-505 Ma (%),505-550 Ma (%)
CT-1,152.0,122,23,2,0,4,0,0,0,0,0,0,0,0.8079470198675497,0.152317880794702,0.013245033112582781,0.0,0.026490066225165563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT-2,251.0,177,9,0,38,10,1,0,10,1,0,1,0,0.7165991902834008,0.03643724696356275,0.0,0.15384615384615385,0.04048582995951417,0.004048582995951417,0.0,0.04048582995951417,0.004048582995951417,0.0,0.004048582995951417,0.0
CT-3,267.0,0,0,0,0,52,3,1,190,17,0,2,0,0.0,0.0,0.0,0.0,0.19622641509433963,0.011320754716981131,0.0037735849056603774,0.7169811320754716,0.06415094339622641,0.0,0.007547169811320755,0.0
CT-4,308.0,264,24,2,7,10,0,0,0,0,0,0,0,0.8599348534201955,0.0781758957654723,0.006514657980456026,0.02280130293159609,0.03257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT-5,259.0,223,25,1,6,5,0,0,0,0,0,0,0,0.8576923076923076,0.09615384615384616,0.0038461538461538464,0.023076923076923078,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT-6,299.0,269,22,1,2,5,0,0,0,0,0,0,0,0.8996655518394648,0.07357859531772576,0.0033444816053511705,0.006688963210702341,0.016722408026755852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT-7,219.0,196,11,1,7,4,0,0,0,0,0,0,0,0.8949771689497716,0.0502283105022831,0.0045662100456621,0.0319634703196347,0.0182648401826484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT-8.2,222.0,176,32,2,7,3,0,0,2,0,0,0,0,0.7927927927927928,0.14414414414414414,0.009009009009009009,0.03153153153153153,0.013513513513513514,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0
CT-9,250.0,160,23,1,40,8,3,0,8,2,1,0,1,0.6477732793522267,0.0931174089068826,0.004048582995951417,0.16194331983805668,0.032388663967611336,0.012145748987854251,0.0,0.032388663967611336,0.008097165991902834,0.004048582995951417,0.0,0.004048582995951417
CT-10,203.0,157,37,2,3,4,0,0,0,0,1,0,0,0.7696078431372549,0.18137254901960784,0.00980392156862745,0.014705882352941176,0.0196078431372549,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0
CT-11,215.0,170,33,3,4,3,0,0,1,1,0,0,0,0.7906976744186046,0.15348837209302327,0.013953488372093023,0.018604651162790697,0.013953488372093023,0.0,0.0,0.004651162790697674,0.004651162790697674,0.0,0.0,0.0
